content,Predicted_Sentiment
caleb2207 get show foxnews brilliant independent mind think show would surpass oreillyfactor,Neutral
willy kingston country economy would back track realdonaldtrump became next president true thanks,Positive
benwiley3 realdonaldtrump macys donald trump tie prized possession closet great,Negative
18 4 life great show forgotten worthy causes charities supported great work done thanks,Negative
jasongandy realdonaldtrump donald hell run president business genius unlike barackobama 2016,Positive
raj tut 22 company tutandtut owns 6 million worth multi family properties started advice great,Neutral
18 4 life realdonaldtrump caleb2207 get job 1600 pennsylvania ave,Negative
rhino848484 realdonaldtrump would nbc without apprentice make tv network mr trump,Positive
pietiev realdonaldtrump happy new year mr trump role model became successful father fred trump,Positive
patketley birthdays special retweet realdonaldtrump would make even special happy birthday,Positive
iandyolson realdonaldtrump raj tut 22 company tutandtut started advice give 10 kidding,Neutral
maomaothecat realdonaldtrump sleep thinking new celeb apprentice,Neutral
intheelections see told god wanted president praying many years wow nice,Positive
debragarrett realdonaldtrump happy birthday one admired men like fine wine mr trump great birthday thanks,Positive
sloat24 realdonaldtrump vote expect voting trump2016 thank,Neutral
herr barclay got love monday segments realdonaldtrump fox friends never miss monday worth mention,Positive
lindsey derek famous people twitter one see tweet regular people realdonaldtrump greatguy,Positive
prezbridgette realdonaldtrump thank inspiring world thank,Neutral
battleface2face realdonaldtrump got vote donald 1 save us economy trump2016,Neutral
tylerthurston happy birthday realdonaldtrump always look forward reading advice great,Negative
1hotninja realdonaldtrump please run president would dream come true better person run u,Positive
news beautiful miss venezuela monica spear devastating knew spectacular woman missed,Negative
offshore wind dead duck scotland time alex salmond manned stopped blaming westminster cont,Negative
thanks everybody happy birthday greetings actually 10th birthday apprentice birthday june 14th,Negative
via foxnewslatino donald trump plans huge towers rio post olympic building boom,Negative
trump organization continues expand internationally record pace many new announcements come soon,Neutral
tbt darrell hammond hosted snl,Neutral
thursday many people lost healthcare today,Neutral
kenttucker planning golf trip scotland aug 2015 plan playing trump int l yes best,Negative
discoboy7 salmond one man crusade destroya brilliant union u turn investment disgrace thx,Positive
l100ran agree best thing alexsalmond start telling truth nothing truth,Negative
tinaclean realdonaldtrump vancouver bc hotel going finished 18 months,Positive
elspryte realdonaldtrump fantastic point view 95 uk would agree alexsalmond,Neutral
brad4634 beautiful addition city skyline great dining thanks making chicago beautiful ever thank,Negative
circleofdocs realdonaldtrump trumpchicago love trump chicago great place live visit thank,Negative
princeomega zagatchicago realdonaldtrump sixteenchicago bravo thank trumpchicago,Neutral
skyblue2050 realdonaldtrump apprentice great show never tired watching thank,Neutral
xx justme still believe donald trump responded tweet respect trump2016 would best pres country thx,Positive
tough smart personable take things personally good business,Positive
focus goals problems problems mind exercise learn play beyond comfort zone,Neutral
billdmeyer1971 gretawire realdonaldtrump foxnews need governor state mess,Positive
brand new blue monster opened trump national doral miami also great new driving range open till midnight go see,Positive
president obama fired obamacare website builder question hired first place sue damages,Neutral
obamacare website contractor terminated obvious incompetence person hired going fired,Negative
politics sometimes life friends come go enemies accumulate,Positive
emanuelcenerini realdonaldtrump think americans know would great president possibility others thanks,Positive
g0d realdonaldtrump another president like reagan trump2016,Positive
jenylyn23 realdonaldtrump would first action president end obamacare,Positive
chrisexpress5 realdonaldtrump could help country hole trump2016,Positive
stephencranford realdonaldtrump awesome trump4president trump2016,Neutral
darlenemichele realdonaldtrump g0d u would definitely best looking president ever thank nice,Neutral
g0d realshanehiles realdonaldtrump realdonaldtrump proven job creator inspiration common man,Neutral
elizabethtrivis realdonaldtrump g0d get vote thanks,Neutral
whether like obama bob gates turned one disloyal dude personally hate rats,Positive
ivankatrump golfdigestmag predicts realdonaldtrump golf greatest builder today bluemonster aberdeen ferrypoint,Neutral
fox friends tomorrow morning 7 00 discussing sorts current disasters,Positive
rghilinoclu bought couple beautiful realdonaldtrump ties macys today guaranteed look sharp week,Negative
heelsofsteelah realdonaldtrump please next president vote,Positive
gjcream realdonaldtrump thank strait shooter inspiration us young business owners thank,Neutral
republican party new york conditioned lose excuse leadership must move fast decisively,Neutral
lexiflake realdonaldtrump awesome love much xoxo nextpresident,Neutral
carminevalenti realdonaldtrump please run president everyone vote oh yeah buy mets 162 0 every year,Positive
rodstowell73 afraid use know happen thanks,Neutral
sunflowers362 realdonaldtrump reviewing options obamacare sleepless nights worried,Negative
yosoytumarido todos son culeros realdonaldtrump president usa usa,Positive
watching horror story rod realized time let pete rose baseball hall fame,Neutral
fox friends minutes hope enjoy,Neutral
nsatte realdonaldtrump big fan got trump mattress great like knew brand would serta,Neutral
calipaulmichael realdonaldtrump love interacting fans much yes,Neutral
vijaychopra7 u one gifted personalities today keep rocking world ur ingenious thoughts thank,Positive
helena torry consider perfect faults,Neutral
jglenstevens need great businessman,Positive
jjprl trumpdoral amazing spot donald trump team done incredible job go see thx,Negative
betterhermann caleb2207 oreillyfactor think show fox w donald trump would something look forward agree,Negative
ejfriday realdonaldtrump wow donaldtrump pres america prepare exceptional greatness cheers thanks,Neutral
arekrnbn finished another great trump book one go realdonaldtrump great,Positive
flushinghearing realdonaldtrump looking forward hearing speak starkey expo thursday 10 las vegas great,Neutral
karatemomccm inspiration admire honesty perseverance business sense thank,Neutral
pierpaolomonni realdonaldtrump arekrnbn definitely great book think like champion champion thanks,Neutral
anticipate change embrace recognize new developments capitalize use open new doors,Positive
understand difficulties mistakes setbacks inevitable part business life allow knock feet,Neutral
focus goals fixed patterns necessary unnecessary made clear,Neutral
best speech goldenglobes history,Negative
cash honey realdonaldtrump get inspiration everyday nice thanks,Neutral
yankees dropped rod long ago even bothered arbitration would saved fortune,Positive
pruett jason realdonaldtrump would honored get follow greatest businessman ever followtheleader,Negative
michaelrcaputo catch realdonaldtrump fred dicker talk1300 radio show tuesday 10am governor race listen live,Positive
dave brown realdonaldtrump runs president vote thanks,Positive
cnolan need someone like realdonaldtrump president 2016 thank,Positive
ryanbushby realdonaldtrump know truth donald please run president save usa,Positive
robsine wearing realdonaldtrump tie today gonna great day confidence wishihadfiveofthem great,Neutral
twerkmlley realdonaldtrump robsine know picture cute omg,Neutral
bobsmit98038199 realdonaldtrump get ties macys trump tower,Negative
carolyngoltman birthday wonderful gift could get retweet inspirational man happy birthday,Positive
cmo626 long time admirer want buy one books friend suggestions art deal good start,Positive
resilience part survival fittest formula make sure remain adaptable,Neutral
1 success find love trust enough find best best,Positive
great success need passion make sure well directed learn everything expert,Positive
think positively zap negativity immediately focus solution problem persistent alert every single day momentum,Neutral
apprenticenbc sending warm wishes dear friend hollyrpeete birthday today happy birthday holly,Positive
newyorkgop new york republicans must change culture losing culture winning fast last decent shot,Positive
kclivegreen realdonaldtrump thanks positive words wisdom,Neutral
jennamstrachota realdonaldtrump always inspiring personal best appreciate,Negative
tinapiper realdonaldtrump ready another celebrityapprentice love love show,Neutral
caleb2207 realdonaldtrump family going hawaii told go trumpwaikiki told best,Negative
haventravel realdonaldtrump inspired boss start small business,Positive
preachpalerider begged 3 years ago run pres 2016 america last shot descent darkness consider,Positive
dintres realdonaldtrump need real businessman run country someone make money charity nation true,Positive
michele wv realdonaldtrump please run president straighten things plenty straighten,Positive
ryleyrlynn realdonaldtrump please run president mr trump country needs fixing best man job thank,Positive
str8thinker president realdonaldtrump would surround great people mediocrity true,Positive
arqpallares finally punta del este trump tower missed ivankatrump year hope see opening,Negative
mustbeat 15 like one day realdonaldtrump better,Positive
solomondodson realdonaldtrump someone smart seriously run president thank,Positive
jeffredman5 realdonaldtrump watched david letterman interview seem like cool guy thanks,Positive
watching gates seanhannity looks like got hit truck obama get others sign confidentiality agreement,Positive
johnnyb23390 realdonaldtrump confidentiality agreement signed real birth certificate keep great work,Neutral
ichicagoscott realdonaldtrump would describe trumpchicago one word magnificent,Positive
markmizzousteel realdonaldtrump ichicagoscott trumpchicago trust stayed times work fantastic,Negative
jacksbeach realdonaldtrump jeffredman5 trump strong leader letterman weak passive insecure person thanks good,Neutral
joannakirshner enjoying stay beautiful trumppanama thanks realdonaldtrump bringing trump panama love hotel,Positive
michaelsteele wait 4 trumpdc rt realdonaldtrump ichicagoscott thanks michael best keep great work,Neutral
robmotmotcally realdonaldtrump good day mr trump updates ur golf course aberdeen scotland record business,Positive
jerseyshoelace internal debate whether unfollow realdonaldtrump daily basis live without,Neutral
rdpomin realdonaldtrump trump needs late night show,Neutral
dustinjm19 realdonaldtrump retweet today new tie purchase macy tomorrow,Neutral
spencegarcia805 realdonaldtrump man huge inspiration thanks,Neutral
newyorkgop ed cox letter republicans badly ridiculed press never written weakness sad,Neutral
rod lawsuit trying overturn binding arbitration agreement going nowhere banned spring training,Neutral
osamabinballinn celebrities realdonaldtrump one speaks truth need leaders like,Positive
1jeffhensley yankee fan agree whole heartedly aint worth never trump 2016 great thx,Neutral
akers joshua read 3 books realdonaldtrump best advice three something passionate great,Neutral
tonyge0101 realdonaldtrump buy team best owner ever thanks,Negative
wlynton 30th b day today reply would best gift ever happy birthday,Negative
gabriel sherman book roger ailes filled falsehoods inaccuracies publisher ashamed sued,Neutral
senate immediately vote iranian sanctions bill delay iran already breaking agreement obama,Negative
progress state new york last three years none backwards,Positive
winning takes talent repeat takes character john wooden,Neutral
would like thank great writer person jpappaspr real estate weekly wonderful story much appreciated,Neutral
tedbishop38pga thanks ted see show,Neutral
hope never find life another planet doubt united states start sending money,Neutral
department homeland security spent 3 5 billion dollars building new headquarters years late billions budget,Positive
winner think like winner practice positive thinking reality checks,Neutral
hope enjoy story highly respected real estate weekly,Negative
terrible story front page nytimes lightweight agschneiderman eric wear eyeliner,Positive
lightweight agschneiderman fighting nygovcuomo cuomo wins one easily schneiderman total loser,Positive
great article amspec jeffrey lord reagan revolution realdonaldtrump revolution,Neutral
looking forward hosted saintanselm politics eggs next tuesday see manchester nhpolitics,Neutral
breitbartnews continues push limits political investigative reporting andrew legacy lives,Positive
senate concludes benghazi could prevented,Neutral
newyorkgop leader ed cox record abysmal victories hopefully turn things around,Neutral
talent wins games teamwork intelligence wins championships michael jordan,Neutral
trust instincts reason without instincts hard time getting staying top,Neutral
get momentum must first focus specific goal passion intensity,Positive
edwardfcox robastorino like intent another new york state suicide mission got get act together,Neutral
wow heard next tuesday saintanselm politics eggs largest crowd ever looking forward making new friends,Negative
rising bay street trumpto brings opulent luxury along famous world class amenities queen city,Neutral
really successful always good cool head warm heart beautiful common touch,Negative
lacroixroxane realdonaldtrump believe children poised respectful genuine good job thanks roxane,Positive
pearlingjosh big inspiration mr trump 24 ugandan make call first business j trump trust,Positive
bigkick85 realdonaldtrump true inspiration american dream thank,Positive
rcarlc realdonaldtrump amen american hero thank much,Positive
arabinkid88 realdonaldtrump true inspiration many people including striveforgreatness,Neutral
akers joshua pearlingjosh absolutely amazing still sure running pres mr trump lol world loves thanks,Negative
diamondman23 realdonaldtrump guy got good stuff man trump 130am reading book pic twitter com m938f91fyf,Neutral
melaniatrump tbt throwbackthursday pic twitter com zb80gcpmqm,Neutral
tonywelch007 realdonaldtrump trump national special pga event 2014,Negative
jakematt1999 honesty realdonaldtrump would enter politics number 1 supporter even though liberal nc,Neutral
istoddisgood realdonaldtrump even australia inspiration thanks,Neutral
hartataq81 realdonaldtrump arabinkid88 going new potus time tell thanks,Neutral
allen1328 realdonaldtrump next president u,Positive
jlsmoothh realdonaldtrump run president please,Positive
toddthomson12 enough room rsherman 25 realdonaldtrump egos nyc time yes,Neutral
sendrajeremy try successful realdonaldtrump getkatapulted work hard,Positive
badash78 realdonaldtrump toddthomson12 rsherman 25 sherman great respect mr trump,Negative
jeffredman5 realdonaldtrump trump4prez thank,Neutral
chadsheridan inspired people time people like parents grandparents yes realdonaldtrump guy smart,Neutral
benlouix realdonaldtrump influential man world rsherman 25 close second tonight game,Neutral
realmaky really look realdonaldtrump work ethic great continuing work hard work smart,Neutral
mckprk realdonaldtrump inspiration great work hard smart,Neutral
jesale84 realdonaldtrump president mr trump would change direction country going many things,Positive
bbeltku named first born son realdonaldtrump hope lives name total winner,Positive
gunbunintheoven realdonaldtrump youre god damned genius trump agree thanks,Neutral
fox friends 7 00,Positive
scotlandgolf1 trump int l one best golf courses ever played saying something true thxpic twitter com xxqavt8kwo,Positive
movie producer harvey weinstein lost company colony capital guns makes movies w major gun violence really,Negative
michell33841372 people voting ny w feet people leaving record numbers gov trump fix mess true thx,Negative
brianerbland realdonaldtrump best choice ny time real leader ny nygop thanks,Neutral
wwii vs 3 1 2 years world war ii started japanese bombing pearl harbor cont,Positive
whether think think right henry ford,Neutral
people often ask secret success answer simple passion focus hard work momentum keeps going,Positive
excited tomorrow politics eggs saintanselm co hosted necouncil nhiop live stream,Neutral
hope change china controls record number debt,Neutral
never loser quit trying mike ditka,Neutral
la reid like thinking big going thinking anything might well think big donald trump beepic,Neutral
jjprl left trumpdoral amazing spot realdonaldtrump team done incredible job go see doral,Negative
learning expect problems saved lot wasted energy winners see problems another way prove,Neutral
happy anniversary wonderful wife melaniatrump truly great decision pic twitter com eo9ei1njwv,Neutral
asenaphotograph today 61st birthday best gift could receive retweet supporting 2016 happy birthday,Positive
set high standards meet proof learn taking risks,Neutral
leaving palm beach 11 ceremony opening magnificent gary player villa trump nationak doral miami gary great,Negative
great unionleader piece jdistaso visit saintanselm necouncil nhiop politics eggs,Neutral
never know tide going turn favor important never give think like champion,Neutral
learn rules game play better anyone else albert einstein,Positive
honored named one business top leaders icons rebels cnbc vote trump,Positive
great day yesterday trumpdoral unveiling new gary player villa gary champion great guy,Negative
90 stories midtown new york trump world tower glass curtain wall true landmark,Neutral
asking big cast announcement coming soon apprenticenbc,Neutral
via wsj wake alexsalmond destroy scotland david cameron aberdeencc pressjournalpic twitter com ofw93jxh6g,Negative
times difficult must even focused find profitable opportunities,Negative
right mindset job see work art form means paying attention every detail,Negative
tonywelch007 realdonaldtrump starts doral best world face test newbluemonster,Neutral
nandigold13 realdonaldtrump thanks inspirational tweets like learn best thank,Neutral
nbc news called great freeze coldest weather years country still spending money global warming hoax,Positive
dawson stock forget global warming also mean earth getting colder way cover sides fence,Neutral
weather events used global warming hoaxsters justify higher taxes save planet believe,Neutral
really believe great country continue survive incompetent leadership answer better move fast,Positive
betterhermann realdonaldtrump obvious seems elude people vision,Neutral
fox friends 7 00 enjoy,Positive
kwrcrow realdonaldtrump tell like sir pull punches keep good work thanks,Neutral
afghanistan called leader karzai toying u,Neutral
give goals substance imbue value exceeds monetary make count many levels,Neutral
passion gives great momentum catalyst great achievement,Neutral
entrepreneurs ignorance bliss fatal costly losers either get organized get crushed,Neutral
everything comes hustles waits thomas edison,Neutral
apple iphone sales fell way short must go larger screen alternative fast said long ago samsung size much better,Positive
predicted apple stock fall based dumb refusal give option larger iphone screen like samsung sold apple stock,Neutral
langwillar realdonaldtrump today good sold today good sold last week,Neutral
hmunjal realdonaldtrump come home country india see progress trump towers pune soon,Neutral
steve jobs spinning grave apple lost vision momentum must move fast get magic back,Neutral
much new york state spending obnoxious v commercial played endlessly tax incentive work,Neutral
smart stay problems longer albert einstein,Neutral
creativity control go hand hand brainpower ultimate leverage,Positive
good business fascinating kind art making money art working art good business best art warhol,Neutral
snowing texas louisiana record setting freezing temperatures throughout country beyond global warming expensive hoax,Positive
peyton2419 wait 2016 dt potus stop listening problems economy state union,Neutral
weather cold long global warming hoaxsters forced change name climate change keep flow,Positive
give clean beautiful healthy air old climate change global warming bullshit tired hearing nonsense,Positive
mike mike show radio espn 6 7 talking super bowl sports obama care,Neutral
mike mike one minute,Positive
great mikeandmike morning espn two great guys fantastic show,Neutral
cadillacchamp returns trumpdoral march 6th watch top golfers world battle blue monster,Neutral
thanks everyone support cnbc top leaders icons rebels vv thanks voting trump,Neutral
via bloombergluxury nadjabrandt trump add rio hotel part expansion 30 sites,Negative
welcome new reality moody downgraded entire us health insurance industry obamacare,Negative
un attacking redskins franchise world problems really top priority,Neutral
always leave ego door negotiations remember business always another day,Negative
cheapest natural gas world united states boonepickens,Neutral
received wonderful letter new father bought son first book art deal great parent,Positive
wow honored pass 2 5m followers twitter thanks followers going great year together,Neutral
say great things think think like champion,Neutral
obamacare fully enacted ny conveniently 2014 expect higher premiums bigger deductibles worse care job killer,Negative
patriotism supporting country time government deserves mark twain,Positive
ivankatrump erictrump opening garyplayer villa trumpdoral,Neutral
press conference opening garyplayer villa trumpdoral,Neutral
failing comedian bill maher got accidental glimpse night really dumb guy look past,Negative
bahia6085 realdonaldtrump timeless classic nice,Neutral
gropperblotter listening espngreeny espngolic years realdonaldtrump interview today timer sensational,Positive
bahia6085 realdonaldtrump success rule surround w successful people twitter follow trump success,Positive
ou sg realdonaldtrump please mr trump america needs someone like help country trump 2016 president thank,Positive
vicki cedeno realdonaldtrump donald trump president would awesome nice,Positive
sherrymcmurry realdonaldtrump may person planet beat hillary,Neutral
remember comedian bill maher openly praised disgusting terrorists destroyed world trade center got canned abc,Negative
desheay realdonaldtrump donald trump president 2016 new era prosperity true would easy,Positive
one worst prolonged cold spells history atlanta texas parts florida freezing global warming anyone,Negative
acebuey realdonaldtrump sadly hbo morals gave garbage another show billmaher boycott hbo,Neutral
caleb2207 realdonaldtrump future turn country around trump2016,Positive
excited announce trump rio de janeiro first south american trumpcollection hotel set open 2016,Positive
obama said sotu global warming fact sure factual like healthcare keep,Neutral
ny safe act unconstitutional attack 2nd amendment rights also increase crime,Neutral
republicans suicidal want push amnesty congress allowing democrats country,Positive
success breeds success best way impress people results think like billionaire,Positive
robertfritz308 realdonaldtrump u please wish happy birthday big fan thank happy birthday,Positive
design business start leverageable expandable predictable financeable midas touch,Neutral
iamstevent stopped office say hello great guy,Neutral
best choice individual highest possible achieve aristotle,Neutral
via breitbartnews mboyle1 exclusive donald trump confirmed speak cpac2014 acuconservative cpacnews,Negative
raffaele sollecito unfairly convicted kill anyone italian government ashamed raffasolaries,Neutral
looking forward hosted nicklangworthy erie county lincoln leadership reception tonight record crowd wait,Neutral
idollylenz right success breeds success best way impress people results thanks dolly,Positive
danrothweil donald wins best brain break tweet aristotle quote thanks back work thank,Neutral
mattj4226 day made read speaking first cpac hope like,Positive
article street donald trump card,Neutral
wealthyjack realdonaldtrump true read great book mr trump thanks,Neutral
jtatsuno realdonaldtrump mr trump commendable 2 5 million follows thank,Neutral
bagomaan 87 never learned much one book capital genius people ignorant thx,Positive
wow tremendous victory trump university case lightweight agschneiderman got news,Negative
information trump university victory call alan garten esquire 212 836 3203 jeff goldman esquire 212 867 4466,Negative
lightweight agschneiderman got ass kicked trump,Neutral
jamie dimon love kicking lightweight agschneiderman ass stop settling fight,Neutral
obrienmurray let hope press covers loss agschneiderman false charges thanks,Negative
godfatha702 agschneiderman let see msm reports w fervor used reported allegation thanks,Negative
kevinweatherbee tremendous victory trump university case vs lightweight agschneiderman got news saw coming thx,Negative
unforgivable crime soft hitting hit avoided never hit softly theodore roosevelt,Positive
court finds favor trump universitypic twitter com pd5trocvwq,Negative
linclonone congrats win never considered would win enjoy every monday fox thank,Positive
go website judge full decision trump university,Neutral
aladesurua big believer realdonaldtrump think big strategies,Neutral
realkeithpatton congratulations realdonaldtrump legal victory thanks,Neutral
bhughes657 wonder nbc rachelmaddow interview donald trump olympics would get great ratings,Positive
laurd123 oh hey saw bill reilly mets game donald trump oreillyfactor great today interview,Positive
trumpcollection great time trumpdoral gary player villa opening,Neutral
enjoy super bowl,Neutral
may worst football game ever played one team denver hard watch,Positive
get buildup terrible game worst super bowl history advertisers must furious,Negative
gfeorg realdonaldtrump president obama visit macy buy beautiful trump silk ties,Positive
via miamiherald ivankatrump talks family business,Negative
broncos truly bad day advice go home forget come back tough next year,Neutral
happy keynoting ny county republican lincoln day dinner february 12 another record crowd,Neutral
watch commodity prices soar freezing cold bad economy could use global warming,Neutral
pgatour comes miami march 6th cadillacchamp returns trumpdoral see,Neutral
president u leader free world dress like times wear suit tie major interviews,Neutral
chance favors prepared mind louis pasteur,Neutral
rio de janeiro joins trumpcollection 2016 going spectacular hotel pic twitter com abdosrzazo,Positive
wind energy complete economic disaster alexsalmond aberdeencc david cameron aberdeenshire scotparl,Positive
greatest weakness lies giving certain way succeed always try one time thomas edison,Negative
experience knowledge prescience formidable combination powers underestimate think like champion,Neutral
2016 old post office fully transformed iconic destination trump int l washington dc,Negative
wineenthusiast highest rated wine va trumpwinery uses gentle techniques produce quality wines,Neutral
congrats pres obama dems cbo tripled estimate working hours lost due obamacare job killer,Negative
cbo estimates 2 3m jobs lost due obamacare elections consequences,Negative
congress worried american workers people came country breaking laws,Positive
realize entrepreneur important gift world jobs security well others midas touch,Negative
massive record setting snowstorm freezing temperatures u smart global warming hoaxsters changed name climate change,Neutral
country stop wasting money global warming many truly stupid things begin focus lower taxes,Positive
wow obamacare projected cause large scale drop jobs even dems shocked 2 5 million number disaster,Neutral
blue monster golf course officially opens tomorrow trump national doral ribbon cutting ceremony great course great reviews,Positive
investment knowledge pays best interest benjamin franklin,Neutral
innovation distinguishes leader follower steve jobs,Neutral
tough strong willing learn learn afraid mistakes setbacks think like champion,Neutral
negotiation persuasion power,Neutral
never allow attitude liability positive strong set mind winning keep,Neutral
frumpy little read nytimes editorial writer gail collins keep job totally irrelevant nytimescollins,Positive
remember things cyclical resilient patient creative remain positive think like champion,Neutral
46 stories downtown new york trumpsoho features loft inspired interiors designed fendi casa,Neutral
via golfweekmag bkleingolfweek donald trump reopens doral blue monster,Negative
wesleycooler3 nobody asked great school,Neutral
saying three months bridge tolls staten island far high unfair got lowered nearly enough,Negative
fox friends 7 00 enjoy,Positive
k swisher69 thanks kasey,Neutral
true thanks,Neutral
golfswingshirt realdonaldtrump looking forward playing trump national la tuesday padraig harrington say hi padraig,Negative
mega1123 realdonaldtrump please mr trump put derekhough show celebapprentice would great,Neutral
ann eads realdonaldtrump agree people mocking russia efforts going hurt us long run,Positive
anytime see someone talking celebrity weight loss twitter total scam,Negative
nabalab realdonaldtrump wrestlemania coming chance renewing rivalry vincemcmahon yourefired ask vince,Neutral
poppjoe realdonaldtrump doral looking amazing last weekend 100 complete soon blue monster already open,Neutral
dinaavon realdonaldtrump whenever see plane remind son hard work accomplish thank great,Neutral
governor cuomo cut verrazano bridge tolls made major point speeches love people staten island,Positive
destiny part play life business give chance work think like champion,Neutral
w views nyc skyline trump stamford connecticut luxurious high rise featuring trump amenities,Negative
remember keep going stop momentum stop think big,Neutral
great purchase ireland top spot,Neutral
looking forward addressing record setting crowd tonight new york county lincoln day dinner lots talk,Neutral
trump championship bluemonster course opens rave reviews via sacbee news,Negative
people ireland great purchase doonbeg soon lodgeatdoonbeg,Neutral
sons eric right doonbeg ireland nothing like,Negative
trump lays big plans doonbeg resort billionaire says investment shows ireland economy recovering,Neutral
make special better place celebrate st patrick day windy city trumpchicago,Negative
obamacare wonderful law obama summarily change law election,Positive
sell short something important today beginning think like champion,Neutral
things capable would literally astound thomas edison,Neutral
always bear mind resolution succeed important abraham lincoln,Negative
sons eric ireland looking new club phenomenal lodgeatdoonbeg,Neutral
scotland stop insane policy obsolete bird killing wind turbines country destroyed alexsalmond aberdeencc,Positive
great making keynote speech 2014 lincoln day dinner hosted dan isaacs ny republican county committee wonderful people,Neutral
clubhouse facility suites ireland lodgeatdoonbeg trumpireland pic twitter com zimh4iy9vgpic twitter com ujbjdbfkus,Neutral
big part country even southern states massive attack snow freezing cold global warming anyone,Neutral
give goals substance make count many levels remember passion catalyst great achievement,Neutral
danscavino thanks dan,Neutral
mandreinahp one idols age 15 read books 18 started company thanks great,Positive
sharp4 donald trump would ideal president thank,Positive
mbmirish realdonaldtrump congrats purchase ireland apply work write manager joseph good luck,Neutral
pierpaolomonni definitely agree sharp4 realdonaldtrump really hope run president thank,Positive
augustleo14 realdonaldtrump sharp4 totally agree brain inspiring loved years thanks,Positive
believe way karzai talks united states zero respect,Neutral
sheridanbetts wait cpac realdonaldtrump look forward also,Neutral
luke mcgrath wait hear man realdonaldtrump cpac great,Neutral
richardson1232 realdonaldtrump role model one best americans thank mike,Positive
lkoja excited cpac realdonaldtrump true inspiration many americans thank,Neutral
robertundefined realdonaldtrump real deal man thanks,Neutral
stewart5337 hi know took long follow welcome ireland looking forward visit new golf club,Neutral
new club atlantic ocean ireland soon one best world one looking ugly wind turbines,Positive
irish government smart destroy beautiful coastline w bird killing ugly wind turbines alexsalmond aberdeencc,Negative
si golf gil hanse fix delays building rio olympic course bring realdonaldtrump thank,Positive
datadamguy realdonaldtrump trumpsoho hotel looks great wait build something epic good luck,Positive
maryrosesgarden realdonaldtrump congratulations think spot even prettier scotland thanks,Negative
tonystang realdonaldtrump phenomenal job restoration legendary course doral thank,Positive
jshawknz realdonaldtrump many months celebrity apprentice comes back soon,Neutral
ianmccormack10 realdonaldtrump great bit business buying doonbeg outstanding course part country thx,Positive
hope derek jeter fantastic year yankees changes mind retiring great guy,Negative
aeronmalone got engaged doonbeg 2012 looking forward return visit nicest hotel ireland far thanks,Negative
dasboot96 scotland loss short sighted wish every success new club thank alexsalmond aberdeencc,Positive
jakejuliot realdonaldtrump know cast next season celebrityapprentice soon,Neutral
matthewjellis2 realdonaldtrump alexsalmond aberdeencc irish eyes smiling thank,Neutral
therealtmac11 trumpsoho wife stayed hotel beautiful service outstanding thank,Positive
reexaminelife monday lectured 2 college students makes u successful always exceed customers expectations thx,Negative
jurciuoli19 happy birthday,Positive
longetterer donald trump paid 1 5 million per hr every speaking engagement,Positive
richtweett realdonaldtrump please thing whitestone bridge thanks donald trump try,Neutral
trumpdoral bluemonster looks fantastic great time grand opening looking forward cadillacchamp,Negative
kate mattox realdonaldtrump every club spectacular friend got married mar lago spectacular thank,Neutral
waapples realdonaldtrump valentine day wife 40th trumpchicago weekend great,Neutral
joandkev8 realdonaldtrump date celebrity apprentice excited see start shooting 3 weeks,Neutral
brianfinn96 realdonaldtrump coming doonbeg yes soon,Neutral
vote 3 31 travel favorites travlandleisure tlworldsbest awards,Positive
diamondjn1 realdonaldtrump living staten island thanks great,Neutral
never day work life fun thomas edison,Neutral
set bar high best possibly focused disciplined alert every single day,Negative
faizermiami realdonaldtrump best advice best leader,Neutral
drewmadeoff rt realdonaldtrump never day work life fun thomas edison,Neutral
dishonest slob reporter understand sarcasm talking wife wrote foolish boring trump hit,Negative
markadamsbball without passion energy without energy nothing donald trump passion,Positive
youngsinatra donald trump still favorite mac miller track mac certainly done well many hits twitter,Negative
brand new blue monster golf course trump national doral fantastic business also new driving range open night,Neutral
one great places planet get better investing large sums,Positive
adamedinburg realdonaldtrump watching home alone 2 son look exact get rt,Negative
enviroclean519 trumpchicago wife stayed anniversary beautiful place amazed staff remembered name,Negative
minlarrycornel realdonaldtrump trumpdoral spectacular please keep good work minlarrycornel thank,Neutral
mckaycoppins failed dishonest reporter refuses mention sarcasm voice referring irrelevant buzzfeed,Neutral
come discredited reporter mckaycoppins refused write events new hampshire buffalo n record breakers,Neutral
fitbafan neaver82 realdonaldtrump majority people near course fully support problem vocal minority scotland,Positive
helscahill realdonaldtrump congrats adding beautiful west ireland golf club portfolio lifted country,Positive
bushpiggy realdonaldtrump jealous got magnificant course like doonbeg beautiful island world fact,Positive
never equated wind farms pan lockerbie disaster stated alexsalmond never released terrorist bad,Neutral
scotgov scotland could verge new generation hydro power would great,Neutral
loveandgarbage never said total misquote,Neutral
chrismashimbyi art deal realdonaldtrump one greatest books ever thank,Neutral
rm61307 donald j trump realdonaldtrump govchristie mr trump run 16 christie answer b bowing,Negative
kathyshirer country needs donald trump one world get us debt thank,Positive
due holiday fox friends morning next monday 7,Positive
let global warming wiseguys get away changing name climate change facts let gw tag work anymore,Positive
tahanna realdonaldtrump hope one day honoring presidents day nice,Positive
believe one secretary state john kerry stated dangerous weapon today climate change laughable,Positive
think john kerry aware fact building nuclear weapons iran north korea pakistan already,Negative
climate change global warming let dollar sucking wiseguys change names midstream first name work,Positive
